"Em 2024, teremos uma oportunidade única de escolher o rumo do nosso país para os próximos anos. Uma oportunidade de renovar a esperança, a confiança e a ambição de construir um Portugal mais justo, mais próspero e mais sustentável. Uma oportunidade  de afirmar a nossa identidade, a nossa cultura e os nossos valores no mundo. Uma oportunidade de unir os portugueses em torno de um projeto comum, que respeite a diversidade, a liberdade e a democracia."
"É por isso que apresentamos este Programa eleitoral, fruto de um amplo debate e de uma coligação ambiciosa entre partidos que partilham uma visão reformista, moderna e humanista para o nosso país. Um Programa assente em pilares fundamentais: a educação, a ciência e a cultura; a sustentabilidade, a agricultura e o mar; a coesão territorial e a descentralização; e a saúde, o desporto e o bem-estar; e uma economia competitiva,  próspera e equilibrada que sirva as pessoas, não deixando ninguém para trás."
"Acreditamos que a educação, a ciência e a cultura são os motores do desenvolvimento humano, da inovação e da competitividade. Queremos uma educação de qualidade para todos, que promova a igualdade de oportunidades, a exigência e a autonomia. Queremos uma ciência de excelência, que estimule a investigação, a transferência de conhecimento e a cooperação internacional. Queremos uma cultura viva, que valorize a nossa  história, a nossa língua e a nossa criatividade."
"Acreditamos que a sustentabilidade, a agricultura e o mar são os eixos da transição energética, da segurança alimentar e da valorização dos recursos naturais. Queremos um ambiente saudável, que proteja a biodiversidade, a qualidade da água e do ar, e que combata as alterações climáticas. Queremos uma agricultura moderna e competitiva, que garanta a produção de alimentos de qualidade, a valorização do mundo rural, a preservação das florestas e a proteção animal. Queremos um mar rico, que potencie as  atividades marítimas, a economia azul e a soberania nacional."
"Acreditamos que a coesão territorial e a descentralização são as bases da coesão social, da dinamização económica e da participação cívica. Queremos um território equilibrado, que reduza as assimetrias regionais, que promova a mobilidade e a acessibilidade, e que reforce a solidariedade entre o litoral e o interior. Queremos uma descentralização  regional, e que garanta a subsidiariedade e a autonomia."
"Acreditamos que a saúde, o desporto e o bem-estar são os pilares da qualidade de vida, da prevenção e da inclusão. Queremos uma saúde universal, que assegure o acesso a cuidados de saúde de qualidade, que melhore a gestão e a eficiência do Serviço Nacional de Saúde, e que aposte na inovação e na digitalização. Queremos um desporto para todos, que incentive a prática e a atividade física, e que fomente os valores do fair-play e da ética. Queremos um bem-estar integral, que abranja as dimensões física, mental, emocional e social, que promova a felicidade e a resiliência, e que combata a pobreza e  a exclusão."
"Mas o eixo mais relevante são as políticas sociais e a promoção do bem-estar das populações. Queremos uma sociedade mais justa, mais solidária e mais humana, que respeite a dignidade da pessoa humana, que proteja os mais vulneráveis, que valorize o trabalho e o mérito, e que estimule a responsabilidade e a cidadania. Queremos uma sociedade mais aberta, mais diversa e mais inclusiva, que promova uma imigração regulada e acolha os migrantes, que incentive a natalidade, que promova a longevidade com qualidade de vida, que combata todas as formas de discriminação e de violência, e que celebre a pluralidade e a tolerância. Queremos uma sociedade mais transparente, mais ética e mais democrática, que combata a corrupção, que reforme a justiça, que defenda a segurança e a ordem pública, e que reforce a soberania nacional e a integração europeia,  a visão atlantista a e lusofonia."
"Queremos mais equidade intergeracional, com as preocupações prioritárias de gerar oportunidades para os jovens se fixarem em Portugal e se emanciparem, e de garantir aos mais velhos a segurança física e económica, o acesso à saúde em tempo e de qualidade, e a participação ativa na vida em sociedade. Este é o nosso Programa, este é o nosso compromisso, este é o nosso desafio. Convidamos todos os portugueses e portuguesas a juntarem-se a nós nesta missão de construir um futuro melhor para Portugal. Um futuro que honre o nosso passado, que aproveite o  nosso presente, e que realize o nosso potencial. Um futuro que seja de todos e para todos. Um futuro que seja nosso."
"educação e formaçãoqualificaçãoHá uma geração de alunos a ficar para trás e que precisa de uma educação que lhe dê futuro. Os resultados dos últimos 8 anos na Educação são preocupantes, sobretudo pela degradação da aprendizagem, pelo conflito social nas escolas e pela escassez de  professores."
"Recolocar os alunos portugueses com níveis de desempenho acima da média da  OCDE nas avaliações do PISA 2028;"
"Reconhecer a importância dos professores: recuperar integralmente o tempo de serviço congelado, de forma faseada nos próximos 5 anos (à razão de 20% ao ano), e  atrair novos professores para, até 2028, superar estruturalmente a escassez de professores;"
"Apostar nos mais novos: universalizar o acesso ao pré-escolar a partir dos 3 anos de  idade;"
"Elevar exigência sem deixar alunos para trás: aplicar, a partir do ano letivo 2024-apoiar os alunos em risco de insucesso escolar. aprender mais: recuperar a aprendizagem  e não deixar alunos para trásImplementar o A+A, “Aprender Mais Agora”, um plano de recuperação da aprendizagem que realmente permita aos alunos construir um caminho de sucesso escolar. O A+A incluirá recursos adequados para o apoio aos alunos, a capacitação de docentes para implementar um sistema de tutorias, assim como o reforço de créditos  horários;"
"Avaliar a possibilidade de majorar o financiamento das escolas TEIP, para fomentar projetos de maior integração e igualdade de oportunidades. modernizar o sistema educativo Redefinir o papel do Ministério da Educação, atribuindo responsabilidades de regulador e não de decisor sobre o funcionamento de todas as escolas públicas;"
"Reestruturar os ciclos do ensino básico, integrando os 1º e 2º ciclos, de forma a alinhar com a tendência internacional e garantir uma maior continuidade nas abordagens e um desenvolvimento integral dos alunos;  Criar uma plataforma integrada de todos os serviços do Ministério da Educação;"
"Investir em recursos digitais que simplifiquem os processos administrativos."
"Integrar a faixa etária dos 0 aos 3 anos no sistema educativo tutelado pelo Ministério  da Educação;"
"Acesso universal e gratuito: alargar a oferta pública e sem custos para as famílias de creche e de pré-escolar, seja aumentando a capacidade da oferta existente no  Estado, seja contratualizando com o sector social, particular e cooperativo;"
"Produzir orientações para o período 0-6 anos e proporcionar às instituições o acesso a materiais educativos adequados ao desenvolvimento nas áreas das linguagens  (oral, escrita, artísticas e digitais), da matemática, das ciências e da motricidade;"
"Reforçar a formação inicial e contínua de Educadores que trabalhem com crianças de 0-3 anos, assim como a formação de Auxiliares de Ação Educativa. um currículo exigente e flexível para desafios imprevisíveis Desenvolver um currículo centrado no conhecimento científico e cultural, revendo as “Aprendizagens Essenciais” e os documentos orientadores do ensino, elevando as  expectativas em relação à aprendizagem dos alunos;"
"Flexibilizar as cargas letivas obrigatórias nos vários níveis de escolaridade;  Promover a inclusão do ensino do inglês desde o 1.º ano de escolaridade;"
"Reforçar o ensino experimental das Ciências;"
"Redefinir os percursos científico-humanísticos do ensino secundário, no sentido de alargar as disciplinas que os alunos podem livremente escolher frequentar. confiar nas escolas públicas: mais autonomia para ensinar Melhorar o sistema de transferência de competências para as Autarquias, articuladamente com as escolas;"
"Construir, em diálogo com os diretores e professores, um novo modelo de autonomia  e gestão das escolas, que robusteça a autonomia financeira, pedagógica e de gestão de recursos humanos das escolas;"
"Atualizar o financiamento e rever a regulamentação das Atividades de Enriquecimento Curricular (AEC);"
"Redefinir os parâmetros técnicos de construção e reabilitação dos edifícios escolares."
"Implementar provas de aferição a Português, Matemática e uma disciplina rotativa (a cada 3 anos) nos 4.º e 6.º anos (anos de final de ciclo), de aplicação universal e  obrigatória;"
"Publicar os resultados das provas de aferição, a nível nacional e de agrupamento,  para fins de prestação de contas e valorização das provas;"
"Rever a aplicação do atual modelo de avaliação das aprendizagens (vulgo aplicação  do projeto MAIA)."
"uma educação inclusiva e para todos Avaliar o impacto do atual Regime Jurídico da Educação Inclusiva;"
"Melhorar a inclusão de pais e encarregados de educação dos alunos com necessidades educativas especiais nos processos de decisão e escolha do percurso escolar dos seus educandos; Reforçar os meios para o ensino do «Português Língua Não Materna», considerando  o aumento do número de estudantes estrangeiros em Portugal."
